Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Median_Goal,Tail_Ratio,IQR_Hours,Wait_State,Primary_Action,Stress_Flags,Problem_Type
Algorithms,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,99.0,82.0,0.0,0.0,83.7,down,-83.7,1.0,0.0,,,,,,,24.0,42.92783431331373,College,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Civil Engineering,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,50.0,40.0,100.0,100.0,79.6,up,20.4,1.0,1.0,0.0,0.0,0.0,,,,72.376663,47.61001667752443,College,NICHE,72,12,,,Unknown,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Voice,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,78.0,62.0,0.0,0.0,79.5,down,-79.5,0.0,0.0,,,,,,,32.485,38.68389287846482,Arts & Music,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
R Programming,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,61.0,50.0,0.0,0.0,83.3,down,-83.3,1.0,0.0,,,,,,,,40.299310110110106,College,NICHE,72,12,,,Unknown,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Public Health,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,92.0,68.0,0.0,0.0,73.9,down,-73.9,0.0,0.0,,,,,,,36.13666,43.01840382902938,College,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Algebra Regents,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,128.0,101.0,0.0,0.0,78.9,down,-78.9,0.0,0.0,,,,,,,24.0,53.44790721202003,Test Prep,NICHE,72,12,,,Unknown,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Biostatistics,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,108.0,89.0,0.0,0.0,83.2,down,-83.2,1.0,0.0,,,,,,,2.18333,50.355787137947964,College,NICHE,72,12,,,Unknown,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Web Development,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,95.0,81.0,100.0,100.0,85.1,up,14.9,1.0,1.0,,,,,,,52.88,38.25299236499068,College,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
Logic,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,81.0,61.0,0.0,0.0,75.3,down,-75.3,0.0,0.0,,,,,,,28.919994,53.622707851458884,College,NICHE,72,12,,,Unknown,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Physics 11,1.0,2,1.0,86.0,-6.0,54,True,13.0,False,,13.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,1.0,109.0,93.0,0.0,0.0,85.3,down,-85.3,0.0,0.0,0.0,7.0,1.0,,,,53.039996,47.24379047619047,Other,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Web Design,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,109.0,89.0,50.0,50.0,82.2,down,-32.2,2.0,1.0,1.0,0.0,0.0,,,,,37.70166946721311,College,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
Molecular Biology,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,220.0,184.0,0.0,0.0,83.6,down,-83.6,0.0,0.0,,,,,,,,39.67848350285289,College,NICHE,72,12,,,Unknown,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Personal Finance,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,146.0,118.0,0.0,0.0,80.8,down,-80.8,0.0,0.0,,,,,,,99.58333,49.20027231604342,College,NICHE,72,12,,,Unknown,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck']",On Track — High Wait
Chemical Engineering,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,44.0,39.0,0.0,0.0,88.6,down,-88.6,0.0,0.0,,,,,,,18.33333,54.97541325525685,College,NICHE,72,12,,,Unknown,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Photoshop,7.0,1,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,101.0,75.0,50.0,50.0,75.3,down,-25.3,4.0,2.0,1.0,1.0,1.0,,,,10.38333,39.16420121644295,Arts & Music,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
Fluid Mechanics,1.0,1,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,72.0,61.0,0.0,0.0,87.1,down,-87.1,2.0,0.0,,,,,,,24.35833,40.746169439728355,College,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Minecraft,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,72.0,66.0,100.0,100.0,91.5,up,8.5,1.0,1.0,,,,,,,6.0,35.37094189044039,Technology,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
Econometrics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,43.0,35.0,0.0,0.0,83.3,down,-83.3,1.0,0.0,,,,,,,1.96666,51.31134460476788,College,NICHE,72,12,,,Unknown,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
PSAT Mathematics,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,527.0,459.0,100.0,100.0,87.1,up,12.9,1.0,1.0,,,,,,,34.29833,49.22169721154433,Test Prep,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
ANCC - Family Nurse Practitioner Certification (FNP),1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,7.0,6.0,0.0,0.0,85.7,down,-85.7,0.0,0.0,,,,,,,0.08333,39.2207452,Professional/Cert,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Enrichment,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,58.0,49.0,0.0,0.0,84.5,down,-84.5,0.0,0.0,,,,,,,50.68333,46.15447077280651,Other,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
MCAT Chemical and Physical Foundations of Biological Systems,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,76.0,64.0,75.0,75.0,84.7,down,-9.7,4.0,3.0,2.0,17.0,14.0,,,,19.24,42.92873247524752,Test Prep,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
HTML,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,139.0,117.0,25.0,25.0,85.9,down,-60.9,4.0,1.0,1.0,1.0,1.0,,,,,43.92953704055767,College,NICHE,72,12,,,Unknown,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Roblox,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,44.0,37.0,100.0,100.0,83.3,up,16.7,2.0,2.0,,,,,,,71.869994,30.45966015180266,Technology,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
Legal Writing,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,59.0,41.0,0.0,0.0,75.9,down,-75.9,5.0,0.0,3.0,2.0,1.0,,,,23.026666,48.47053186311786,College,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
ARDMS - RDMS - Obstetrics and Gynecology (OB/GYN),1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,7.0,5.0,0.0,0.0,71.4,down,-71.4,0.0,0.0,0.0,2.0,2.0,,,,0.3,62.423724066390044,Professional/Cert,NICHE,72,12,,,Unknown,On Track,['new_tutor_stuck'],On Track
College Political Science,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,95.0,71.0,25.0,25.0,76.9,down,-51.9,4.0,1.0,2.0,11.0,1.0,,,,15.96,53.03357981291491,College,NICHE,72,12,,,Unknown,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
ACT Science,4.0,1,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,329.0,281.0,67.0,66.7,85.6,down,-18.9,3.0,2.0,1.0,0.0,0.0,,,,55.789996,48.23509518346355,Test Prep,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
AP Research,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,133.0,107.0,0.0,0.0,83.6,down,-83.6,5.0,0.0,2.0,0.0,0.0,,,,17.27666,48.71450708798883,AP,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Microsoft Power BI,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,54.0,44.0,0.0,0.0,84.6,down,-84.6,2.0,0.0,1.0,0.0,0.0,,,,85.833331,27.4171767578125,Technology,NICHE,72,12,,,Unknown,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck']",On Track — High Wait
LSAT Logical Reasoning,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,99.0,77.0,75.0,75.0,77.9,flat,-2.9,4.0,3.0,1.0,20.0,11.0,,,,6.03166,53.12643806758184,Test Prep,NICHE,72,12,,,Unknown,On Track,[],On Track
C#,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,63.0,56.0,0.0,0.0,88.9,down,-88.9,0.0,0.0,,,,,,,,43.31343406442768,Other,NICHE,72,12,,,Unknown,On Track,"['idle_pool', 'new_tutor_stuck']",On Track
Aerospace Engineering,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,40.0,32.0,0.0,0.0,82.1,down,-82.1,1.0,0.0,,,,,,,40.71166,44.26896607142857,College,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Astronomy,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,45.0,38.0,0.0,0.0,88.4,down,-88.4,2.0,0.0,,,,,,,106.58333,48.13395776026094,Other,NICHE,72,12,,,Unknown,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck']",On Track — High Wait
MATLAB,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,77.0,56.0,0.0,0.0,72.7,down,-72.7,0.0,0.0,,,,,,,38.686666,42.20226581764489,College,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Photography,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,56.0,39.0,0.0,0.0,69.6,down,-69.6,0.0,0.0,0.0,7.0,0.0,,,,1.05,49.56166979802724,Arts & Music,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Hebrew,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,18.0,11.0,0.0,0.0,61.1,down,-61.1,0.0,0.0,,,,,,,67.593328,49.32730891566265,Language,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Electronics,1.0,1,1.0,43.0,-3.0,70,True,10.0,False,,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,0.0,1.0,42.0,36.0,0.0,0.0,85.7,down,-85.7,0.0,0.0,,,,,,,10.101666,41.37855085255767,Other,LOW,60,12,,,Unknown,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Inorganic Chemistry,2.0,1,2.0,-43.0,6.0,175,False,8.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,78.0,66.0,100.0,100.0,84.2,up,15.8,2.0,2.0,1.0,24.0,15.0,,,,23.33333,47.62306264559068,College,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
Architecture,2.0,1,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,33.0,25.0,75.0,75.0,75.9,flat,-0.9,4.0,3.0,,,,,,,39.06666,38.743115525114156,Other,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
CPCE,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,10.0,9.0,0.0,0.0,90.0,down,-90.0,0.0,0.0,0.0,0.0,0.0,,,,54.31666,51.42165457746479,Other,NICHE,72,12,,,Unknown,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Civil Procedure,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,28.0,20.0,100.0,100.0,70.4,up,29.6,1.0,1.0,,,,,,,21.87833,37.19379454191033,College,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
Painting,6.0,1,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,137.0,99.0,44.0,44.4,74.2,down,-29.8,9.0,4.0,2.0,1.0,1.0,,,,,38.62040225321888,Arts & Music,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
Managerial Economics,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,44.0,37.0,0.0,0.0,86.0,down,-86.0,1.0,0.0,,,,,,,13.55,57.91271670854271,College,NICHE,72,12,,,Unknown,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Tagalog,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,22.0,14.0,0.0,0.0,63.6,down,-63.6,0.0,0.0,,,,,,,15.16666,38.064462816901404,Other,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
German 2,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,49.0,37.0,0.0,0.0,75.5,down,-75.5,0.0,0.0,,,,,,,0.78333,45.352172175379415,Language,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Linux,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,64.0,48.0,0.0,0.0,76.2,down,-76.2,1.0,0.0,,,,,,,4.071663,40.91989357506361,College,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Expository Writing,18.0,1,22.0,-94.0,119.0,1800,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,421.0,324.0,42.0,41.7,78.0,down,-36.3,12.0,5.0,1.0,8.0,3.0,,,,15.679996,44.860441985138,College,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
Information Technology,4.0,1,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,87.0,66.0,0.0,0.0,75.9,down,-75.9,0.0,0.0,,,,,,,65.1,35.83125980655561,College,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Computer Animation,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,33.0,28.0,0.0,0.0,84.8,down,-84.8,0.0,0.0,,,,,,,70.656664,35.24119418070444,Other,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Software,2.0,2,2.0,7.0,-1.0,93,False,15.0,False,,15.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,,,,,,,,1.0,1.0,74.0,67.0,50.0,50.0,91.7,down,-41.7,2.0,1.0,,,,,,,93.05,37.603098969735996,College,LOW,60,12,,,Unknown,Investigate — Wait Times,"['idle_pool', 'high_wait']",On Track — High Wait
Software Engineering,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,84.0,73.0,0.0,0.0,86.9,down,-86.9,0.0,0.0,,,,,,,20.036664,33.420359047005796,Other,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
ISEE- Primary,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,41.0,35.0,0.0,0.0,89.7,down,-89.7,2.0,0.0,,,,,,,,53.3994962448722,Test Prep,NICHE,72,12,,,Unknown,On Track,['new_tutor_stuck'],On Track
GMAT Quantitative Reasoning,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,53.0,50.0,0.0,0.0,94.3,down,-94.3,0.0,0.0,,,,,,,0.65,43.88164450822809,Test Prep,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Tableau,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,44.0,33.0,0.0,0.0,78.6,down,-78.6,2.0,0.0,1.0,0.0,0.0,,,,42.799999,32.3082231267345,Technology,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Medical Terminology,12.0,1,14.0,-92.0,77.0,1200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,199.0,146.0,14.0,14.3,77.8,down,-63.6,14.0,2.0,4.0,2.0,2.0,,,,11.6,41.852751726363344,College,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Biomedical Engineering,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,46.0,37.0,100.0,100.0,79.5,up,20.5,2.0,2.0,1.0,53.0,5.0,,,,32.443328,39.84531616541353,College,NICHE,72,12,,,Unknown,On Track,['idle_pool'],On Track
Series 10,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,6.0,5.0,0.0,0.0,83.3,down,-83.3,0.0,0.0,,,,,,,,56.362433730158735,Professional/Cert,NICHE,72,12,,,Unknown,On Track,['new_tutor_stuck'],On Track
Analytical Chemistry,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,87.0,75.0,0.0,0.0,86.2,down,-86.2,0.0,0.0,,,,,,,15.844997,43.20843725124377,College,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Heat Transfer,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,41.0,35.0,0.0,0.0,85.4,down,-85.4,0.0,0.0,,,,,,,40.146664,38.66739349269588,College,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Latin 4,1.0,2,1.0,100.0,-7.0,50,True,14.0,True,['Apr'],14.0,1.0,1.0,0.0,1.0,2.0,4.0,5.0,1.0,1.0,0.0,1.0,3.0,5.0,3.0,1.0,,,,,,,0.0,1.0,21.0,19.0,0.0,0.0,90.5,down,-90.5,0.0,0.0,0.0,2.0,2.0,,,,,51.51329756373938,Language,LOW,60,12,,,Unknown,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
High School Geography,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,81.0,55.0,25.0,25.0,70.1,down,-45.1,4.0,1.0,0.0,7.0,1.0,,,,8.47333,47.75585516526068,High School,NICHE,72,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
